Date,Open,High,Low,Close,Volume,Adj Close
2014-03-11,2035.81995,2040.77002,2012.68994,2018.12,000,2018.12
2014-03-10,2036.91003,2041.47998,2022.77002,2029.77002,000,2029.77002
2014-03-07,2054.07007,2054.37012,2029.35999,2036.66003,000,2036.66003
2014-03-06,2048.78003,2051.52002,2040.19995,2046.53003,000,2046.53003
2014-03-05,2041.87,2046.50,2039.40002,2044.50,000,2044.50
2014-03-04,2030.82996,2044.04004,2030.64001,2042.26001,000,2042.26001
2014-03-03,1999.39001,2012.85999,1990.83997,2008.90002,000,2008.90002
2014-02-28,2031.43994,2034.69995,2004.64001,2021.13,000,2021.13
2014-02-27,2026.35999,2033.76001,2018.16003,2032.63,000,2032.63
2014-02-26,2025.03003,2040.84998,2023.50,2028.79004,000,2028.79004
2014-02-25,2027.53003,2028.25,2012.05005,2017.18994,000,2017.18994
2014-02-24,2019.92004,2035.84998,2019.09998,2025.22998,000,2025.22998
2014-02-21,2023.53003,2026.48999,2013.09998,2015.60999,000,2015.60999
2014-02-20,2004.07996,2018.66003,1993.31006,2016.51001,000,2016.51001
2014-02-19,2005.08997,2015.68994,2000.45996,2003.65002,000,2003.65002
2014-02-18,2000.02002,2006.39001,1991.94995,2004.68994,000,2004.68994
2014-02-14,1987.59998,2002.37,1981.66003,1999.85999,000,1999.85999
2014-02-13,1954.53003,1991.12,1953.31995,1991.12,000,1991.12
2014-02-12,1961.13,1972.94995,1961.09998,1966.98999,000,1966.98999
2014-02-11,1935.50,1962.45996,1935.41003,1957.87,000,1957.87
2014-02-10,1920.21997,1934.00,1919.01001,1933.08997,000,1933.08997
2014-02-07,1898.54004,1923.70996,1891.92004,1922.30005,000,1922.30005
2014-02-06,1867.59998,1892.96997,1867.46997,1890.27002,000,1890.27002
2014-02-05,1853.87,1862.50,1834.00,1857.02002,000,1857.02002
2014-02-04,1858.47998,1865.44995,1848.31995,1863.96997,000,1863.96997
2014-02-03,1895.37,1901.71997,1845.41003,1849.96997,000,1849.96997
2014-01-31,1884.45996,1905.82996,1884.45996,1897.65002,000,1897.65002
2014-01-30,1892.04004,1910.23999,1884.72998,1904.66003,000,1904.66003
2014-01-29,1879.19995,1894.32996,1874.43994,1877.93005,000,1877.93005
2014-01-28,1880.17004,1896.85999,1880.17004,1894.95996,000,1894.95996
2014-01-27,1902.56995,1907.56995,1874.81995,1886.00,000,1886.00
2014-01-24,1929.90002,1931.60999,1901.43994,1901.50,000,1901.50
2014-01-23,1944.60999,1945.09998,1930.69995,1941.78003,000,1941.78003
2014-01-22,1942.16003,1955.47998,1940.18994,1953.06995,000,1953.06995
2014-01-21,1945.43005,1948.41003,1928.88,1942.23999,000,1942.23999
2014-01-17,1933.09998,1942.54004,1928.21997,1933.06006,000,1933.06006
2014-01-16,1943.71997,1946.31006,1936.84998,1940.98999,000,1940.98999
2014-01-15,1925.90002,1949.87,1925.62,1945.94995,000,1945.94995
2014-01-14,1886.21997,1921.30005,1885.64001,1919.60999,000,1919.60999
2014-01-13,1907.87,1912.80005,1874.59998,1879.88,000,1879.88
2014-01-10,1906.47998,1908.48999,1895.10999,1907.28003,000,1907.28003
