 
                                                                                                                                                                                                                                                                
 
  PERMNO        date    COMNAM                                 TICKER               PRC           VOL     SHROUT
   14593    20081205    APPLE INC                              AAPL            94.00000      37300920     888935
   14593    20081208    APPLE INC                              AAPL            99.72000      43416626     888935
   14593    20081209    APPLE INC                              AAPL           100.06000      42997168     888935
   14593    20081210    APPLE INC                              AAPL            98.21000      33612137     889485
   14593    20081211    APPLE INC                              AAPL            95.00000      37265807     889485
   14593    20081212    APPLE INC                              AAPL            98.27000      37207627     889485
   14593    20081215    APPLE INC                              AAPL            94.75000      31859400     889485
   14593    20081216    APPLE INC                              AAPL            95.43000      38604435     889485
   14593    20081217    APPLE INC                              AAPL            89.16000      45650695     889485
   14593    20081218    APPLE INC                              AAPL            89.43000      30633639     889485
   14593    20081219    APPLE INC                              AAPL            90.00000      29858694     889485
   14593    20081222    APPLE INC                              AAPL            85.74000      31241768     889485
   14593    20081223    APPLE INC                              AAPL            86.38000      23636348     889485
   14593    20081224    APPLE INC                              AAPL            85.04000      10004247     889485
   14593    20081226    APPLE INC                              AAPL            85.81000      11365689     890415
   14593    20081229    APPLE INC                              AAPL            86.61000      25117779     890415
   14593    20081230    APPLE INC                              AAPL            86.29000      35647096     890415
   14593    20081231    APPLE INC                              AAPL            85.35000      22503881     890415
   14593    20090102    APPLE INC                              AAPL            90.75000      28014289     890415
   14593    20090105    APPLE INC                              AAPL            94.58000      41844475     890415
   14593    20090106    APPLE INC                              AAPL            93.02000      47875392     890415
   14593    20090107    APPLE INC                              AAPL            91.01000      27744415     890415
   14593    20090108    APPLE INC                              AAPL            92.70000      24662123     890415
   14593    20090109    APPLE INC                              AAPL            90.58000      20110229     890415
   14593    20090112    APPLE INC                              AAPL            88.66000      22611994     890554
   14593    20090113    APPLE INC                              AAPL            87.71000      29403654     890554
   14593    20090114    APPLE INC                              AAPL            85.33000      39488108     890554
   14593    20090115    APPLE INC                              AAPL            83.38000      54368846     890554
   14593    20090116    APPLE INC                              AAPL            82.33000      38279836     890554
   14593    20090120    APPLE INC                              AAPL            78.20000      33469742     890554
   14593    20090121    APPLE INC                              AAPL            82.83000      40142258     890554
   14593    20090122    APPLE INC                              AAPL            88.36000      51367867     890554
   14593    20090123    APPLE INC                              AAPL            88.36000      28005540     890554
   14593    20090126    APPLE INC                              AAPL            89.64000      25536811     890554
   14593    20090127    APPLE INC                              AAPL            90.73000      22523818     890554
   14593    20090128    APPLE INC                              AAPL            94.20000      32011582     890554
   14593    20090129    APPLE INC                              AAPL            93.00000      21620933     890554
   14593    20090130    APPLE INC                              AAPL            90.13000      23710024     890554
   14593    20090202    APPLE INC                              AAPL            91.51000      20467836     890554
   14593    20090203    APPLE INC                              AAPL            92.98000      22060013     890554
   14593    20090204    APPLE INC                              AAPL            93.55000      30056554     890554
   14593    20090205    APPLE INC                              AAPL            96.46000      27645701     890554
   14593    20090206    APPLE INC                              AAPL            99.72000      25337716     890554
   14593    20090209    APPLE INC                              AAPL           102.51000      26423565     890554
   14593    20090210    APPLE INC                              AAPL            97.83000      31618587     890554
   14593    20090211    APPLE INC                              AAPL            96.82000      25070903     890554
   14593    20090212    APPLE INC                              AAPL            99.27000      30272806     890554
   14593    20090213    APPLE INC                              AAPL            99.16000      22433175     890554
   14593    20090217    APPLE INC                              AAPL            94.53000      25078893     890554
   14593    20090218    APPLE INC                              AAPL            94.37000      25115332     890554
   14593    20090219    APPLE INC                              AAPL            90.64000      33926945     890554
